id,condition,norm,profile,age,gender,norm_perc,disclosure
460,n20_p0,n20,p0,33,1,5.5,4.333333333333333
461,n80_p80,n80,p80,67,1,6.25,1.6666666666666667
462,n20_p20,n20,p20,36,1,4.5,3.6666666666666665
463,n0_p20,n0,p20,28,1,1.9166666666666667,2.8333333333333335
464,n0_p0,n0,p0,44,1,1.8333333333333333,1.6666666666666667
465,n0_p80,n0,p80,45,1,2.4166666666666665,1.1666666666666667
466,n20_p80,n20,p80,46,0,2.0833333333333335,2
467,n80_p20,n80,p20,32,1,7,2.3333333333333335
468,n80_p20,n80,p20,38,1,5.583333333333333,5.666666666666667
469,n80_p0,n80,p0,29,1,6,6
470,n0_p80,n0,p80,28,0,2.5833333333333335,1
471,n20_p0,n20,p0,49,1,3.1666666666666665,1
472,n0_p20,n0,p20,35,0,1.6666666666666667,2.1666666666666665
473,n80_p20,n80,p20,53,0,6.5,1.5
474,n80_p80,n80,p80,29,0,5.416666666666667,4.666666666666667
475,n20_p80,n20,p80,27,0,6.166666666666667,1
476,n0_p0,n0,p0,30,0,2.9166666666666665,4.166666666666667
477,n80_p20,n80,p20,60,0,5.5,5.833333333333333
478,n80_p0,n80,p0,28,1,5.833333333333333,5.833333333333333
479,n0_p0,n0,p0,37,1,1.4166666666666667,2.1666666666666665
480,n20_p80,n20,p80,22,0,6.083333333333333,5
481,n0_p80,n0,p80,55,1,4.75,4.833333333333333
482,n20_p0,n20,p0,40,1,4.75,6
483,n80_p0,n80,p0,24,1,4,2.6666666666666665
484,n0_p20,n0,p20,36,1,2,2
485,n80_p80,n80,p80,63,1,5.583333333333333,5
486,n0_p20,n0,p20,34,1,1.5,1.5
487,n20_p20,n20,p20,32,1,3.5,1.1666666666666667
488,n80_p0,n80,p0,30,0,6.416666666666667,3.6666666666666665
489,n20_p20,n20,p20,30,1,5,5.833333333333333
490,n20_p0,n20,p0,61,1,3,3.6666666666666665
491,n0_p80,n0,p80,33,0,2.6666666666666665,3.6666666666666665
492,n80_p20,n80,p20,55,1,7,5.333333333333333
493,n20_p80,n20,p80,38,1,5.166666666666667,1
494,n0_p0,n0,p0,24,1,1.5,4.333333333333333
495,n20_p20,n20,p20,28,1,5.666666666666667,1
496,n80_p80,n80,p80,45,1,5.916666666666667,6.166666666666667
497,n80_p0,n80,p0,29,0,6.083333333333333,6.166666666666667
498,n80_p20,n80,p20,26,1,6,5
499,n0_p0,n0,p0,26,1,2.9166666666666665,2.5
500,n20_p0,n20,p0,30,0,4.666666666666667,3.3333333333333335
501,n20_p80,n20,p80,23,1,6.083333333333333,5.833333333333333
502,n0_p80,n0,p80,35,0,4.454545454545454,4
503,n80_p80,n80,p80,44,0,5,2.3333333333333335
504,n0_p20,n0,p20,56,1,1.75,2.8333333333333335
505,n0_p80,n0,p80,70,1,4.083333333333333,4
506,n80_p0,n80,p0,43,0,4.75,4.333333333333333
507,n0_p0,n0,p0,51,1,2.4166666666666665,1.8333333333333333
508,n20_p0,n20,p0,58,1,4.333333333333333,4.333333333333333
509,n20_p20,n20,p20,41,1,2.6666666666666665,2.3333333333333335
510,n0_p20,n0,p20,31,1,2.8333333333333335,3.5
511,n20_p80,n20,p80,29,1,5.666666666666667,1
512,n80_p20,n80,p20,38,0,6.833333333333333,7
513,n0_p0,n0,p0,25,1,1.25,1.3333333333333333
514,n80_p20,n80,p20,36,1,6.666666666666667,5.833333333333333
515,n20_p80,n20,p80,34,1,4.75,4.833333333333333
516,n80_p0,n80,p0,28,1,3.1666666666666665,2.5
517,n0_p80,n0,p80,43,0,2.3333333333333335,3
518,n20_p0,n20,p0,51,1,4.5,4.666666666666667
519,n0_p20,n0,p20,31,1,1,1.6666666666666667
520,n80_p80,n80,p80,68,1,4,1.3333333333333333
521,n20_p20,n20,p20,29,0,3.8333333333333335,1.6666666666666667
522,n0_p80,n0,p80,54,0,5.083333333333333,4.833333333333333
523,n80_p0,n80,p0,26,1,6.166666666666667,5.5
524,n0_p0,n0,p0,25,1,2.8333333333333335,1.8333333333333333
525,n80_p20,n80,p20,53,1,4.416666666666667,1
526,n80_p80,n80,p80,60,1,6.5,2.1666666666666665
527,n20_p80,n20,p80,44,0,5.666666666666667,5.833333333333333
528,n20_p0,n20,p0,47,0,4.083333333333333,2.5
529,n20_p20,n20,p20,27,1,3.0833333333333335,6.666666666666667
530,n80_p80,n80,p80,31,0,6.916666666666667,7
531,n20_p0,n20,p0,26,1,4,4
532,n20_p20,n20,p20,65,0,4,4.166666666666667
533,n0_p20,n0,p20,37,0,3.6666666666666665,2.5
534,n80_p20,n80,p20,24,1,5.75,5.833333333333333
535,n20_p80,n20,p80,32,0,6.5,6
536,n0_p0,n0,p0,26,0,3.4166666666666665,4.666666666666667
537,n80_p0,n80,p0,23,0,4.166666666666667,3.5
538,n80_p0,n80,p0,43,0,1.5,1.3333333333333333
539,n0_p80,n0,p80,30,0,4.416666666666667,4.5
540,n0_p80,n0,p80,39,1,1,2.6666666666666665
541,n0_p20,n0,p20,23,1,2.4166666666666665,2.8333333333333335
542,n80_p20,n80,p20,32,1,5.083333333333333,6
543,n20_p80,n20,p80,61,1,6.083333333333333,6.333333333333333
544,n80_p80,n80,p80,41,1,5.916666666666667,2
545,n20_p0,n20,p0,33,0,4,3.6666666666666665
546,n20_p20,n20,p20,26,0,5.75,3.1666666666666665
547,n20_p20,n20,p20,39,1,5.833333333333333,3.3333333333333335
548,n80_p80,n80,p80,23,1,4.916666666666667,3
549,n80_p0,n80,p0,31,0,6.166666666666667,2.6666666666666665
550,n0_p0,n0,p0,42,1,3,2
551,n80_p20,n80,p20,25,1,6.666666666666667,5
552,n20_p80,n20,p80,37,1,4.666666666666667,4.166666666666667
553,n0_p20,n0,p20,48,0,2.75,1
554,n0_p80,n0,p80,42,0,1.6666666666666667,2
555,n80_p20,n80,p20,28,0,5.916666666666667,5.5
556,n80_p0,n80,p0,35,1,5.666666666666667,4.5
557,n20_p0,n20,p0,27,1,4.833333333333333,3.6666666666666665
558,n0_p0,n0,p0,36,1,4.833333333333333,5.833333333333333
559,n20_p80,n20,p80,32,0,4.083333333333333,3.6666666666666665
560,n0_p20,n0,p20,30,1,2.3333333333333335,2.5
561,n80_p80,n80,p80,30,0,5.833333333333333,5.333333333333333
562,n20_p0,n20,p0,29,1,2,1
563,n80_p0,n80,p0,29,0,5.75,7
564,n20_p80,n20,p80,30,1,5.666666666666667,5
565,n0_p80,n0,p80,26,1,3.3333333333333335,2.8333333333333335
566,n20_p20,n20,p20,27,1,2.8333333333333335,2
567,n0_p20,n0,p20,44,1,1.75,4.666666666666667
568,n80_p20,n80,p20,33,1,5,5.5
569,n0_p0,n0,p0,30,0,5.25,3
570,n80_p80,n80,p80,56,1,5.333333333333333,5
571,n20_p20,n20,p20,29,1,2.9166666666666665,5.833333333333333
572,n0_p80,n0,p80,31,0,1,1
573,n20_p80,n20,p80,24,1,4.916666666666667,5.333333333333333
574,n0_p20,n0,p20,36,1,1.3333333333333333,1.8333333333333333
575,n80_p0,n80,p0,31,1,6.416666666666667,6.333333333333333
576,n0_p0,n0,p0,36,0,6.583333333333333,7
577,n20_p0,n20,p0,29,1,4.75,4
578,n80_p80,n80,p80,37,1,6,4.666666666666667
579,n80_p0,n80,p0,61,0,6.333333333333333,6.5
580,n0_p80,n0,p80,44,1,3,2.8333333333333335
581,n80_p80,n80,p80,35,1,6.166666666666667,5
582,n20_p80,n20,p80,34,1,5.166666666666667,5
583,n0_p20,n0,p20,38,1,1,1.5
584,n80_p20,n80,p20,20,0,5.666666666666667,6
585,n0_p0,n0,p0,36,1,2.5833333333333335,2.3333333333333335
586,n80_p0,n80,p0,34,1,5.583333333333333,3.6666666666666665
587,n80_p80,n80,p80,38,0,6.083333333333333,4.166666666666667
588,n0_p0,n0,p0,30,1,7,7
589,n0_p80,n0,p80,48,0,5.25,6
590,n0_p20,n0,p20,33,1,3.25,3.5
591,n20_p0,n20,p0,53,0,3.75,4
592,n20_p20,n20,p20,29,0,6.75,4.833333333333333
593,n80_p80,n80,p80,23,0,5.583333333333333,3.1666666666666665
594,n20_p80,n20,p80,35,0,4.583333333333333,4.333333333333333
595,n0_p80,n0,p80,72,1,1,1
596,n80_p20,n80,p20,42,0,4.083333333333333,3.3333333333333335
597,n0_p0,n0,p0,39,0,2.8333333333333335,1.5
598,n80_p0,n80,p0,23,1,3.75,3.1666666666666665
599,n80_p0,n80,p0,28,1,6.083333333333333,5.833333333333333
600,n20_p20,n20,p20,25,0,6,5.666666666666667
601,n0_p20,n0,p20,25,1,2.5,2.3333333333333335
602,n0_p80,n0,p80,38,1,5.416666666666667,5.333333333333333
603,n20_p80,n20,p80,61,1,4.166666666666667,4
604,n0_p0,n0,p0,28,1,4.666666666666667,4
605,n80_p20,n80,p20,32,0,6,5.5
606,n20_p0,n20,p0,43,0,3.75,1.8333333333333333
607,n20_p0,n20,p0,49,1,5.333333333333333,1.3333333333333333
608,n20_p80,n20,p80,27,1,4.5,5.166666666666667
609,n80_p0,n80,p0,45,1,4.916666666666667,5
610,n80_p80,n80,p80,28,0,6,6
611,n0_p80,n0,p80,42,0,2.9166666666666665,5
612,n0_p20,n0,p20,44,1,1.5,3
613,n0_p0,n0,p0,34,0,2.9166666666666665,2.6666666666666665
614,n80_p20,n80,p20,37,1,4.833333333333333,5.833333333333333
615,n0_p80,n0,p80,32,1,1.4166666666666667,1.6666666666666667
616,n20_p80,n20,p80,38,1,6.166666666666667,4.666666666666667
617,n80_p20,n80,p20,32,1,6.833333333333333,3.8333333333333335
618,n80_p80,n80,p80,37,0,6.5,6.5
619,n0_p20,n0,p20,25,1,2.8333333333333335,2.1666666666666665
620,n0_p0,n0,p0,24,0,5.25,5.166666666666667
621,n20_p0,n20,p0,34,1,3.6666666666666665,5.333333333333333
622,n80_p0,n80,p0,51,0,5.25,1.6666666666666667
623,n0_p20,n0,p20,57,0,2.1666666666666665,2.1666666666666665
624,n20_p80,n20,p80,22,1,4.083333333333333,5
625,n80_p20,n80,p20,69,1,5.666666666666667,4.333333333333333
626,n0_p0,n0,p0,19,1,4.666666666666667,4.666666666666667
627,n0_p80,n0,p80,54,0,6.583333333333333,6.5
628,n0_p80,n0,p80,56,0,5.083333333333333,4
629,n0_p20,n0,p20,24,1,1.4166666666666667,1.6666666666666667
630,n20_p0,n20,p0,47,1,5.666666666666667,3.6666666666666665
631,n80_p0,n80,p0,41,1,6.666666666666667,1.5
632,n20_p80,n20,p80,28,1,2.5833333333333335,2.8333333333333335
633,n80_p20,n80,p20,32,1,5.416666666666667,4.833333333333333
634,n0_p80,n0,p80,28,1,2.4545454545454546,4.166666666666667
635,n20_p80,n20,p80,66,1,1,2.1666666666666665
636,n0_p0,n0,p0,29,1,2.8333333333333335,2.6666666666666665
637,n80_p20,n80,p20,38,0,5.583333333333333,4.5
638,n0_p20,n0,p20,38,1,1,1.6666666666666667
639,n20_p0,n20,p0,55,1,5.166666666666667,2.5
640,n80_p0,n80,p0,30,1,5,6
641,n0_p80,n0,p80,48,1,1.9166666666666667,2.5
642,n20_p20,n20,p20,44,1,5.333333333333333,3.3333333333333335
643,n20_p0,n20,p0,44,1,3.25,2.5
644,n0_p0,n0,p0,22,0,2.75,5
645,n20_p80,n20,p80,31,0,5.416666666666667,2.5
646,n80_p80,n80,p80,33,1,5.75,3
647,n80_p20,n80,p20,87,1,6.5,1
648,n20_p80,n20,p80,26,1,4.75,4.666666666666667
649,n20_p0,n20,p0,46,1,3.5,2.5
650,n80_p20,n80,p20,52,1,5.916666666666667,5
651,n80_p80,n80,p80,31,1,5.5,6
652,n20_p20,n20,p20,37,1,5.25,4.833333333333333
653,n0_p20,n0,p20,23,0,5.166666666666667,3
654,n0_p0,n0,p0,33,1,1.5,1.3333333333333333
655,n0_p0,n0,p0,47,0,3.4166666666666665,2
656,n20_p80,n20,p80,28,1,3.75,4.166666666666667
657,n0_p80,n0,p80,23,0,4.416666666666667,1
658,n80_p0,n80,p0,32,0,6.416666666666667,3.6666666666666665
659,n80_p20,n80,p20,29,1,6.166666666666667,4
660,n20_p20,n20,p20,29,0,5,1
661,n20_p0,n20,p0,28,1,3.9166666666666665,3.5
662,n80_p80,n80,p80,31,1,5.916666666666667,6.833333333333333
663,n0_p20,n0,p20,31,0,5.25,5
664,n0_p0,n0,p0,58,0,1.25,1.1666666666666667
665,n20_p0,n20,p0,20,1,3.4166666666666665,5
666,n80_p80,n80,p80,36,1,6.416666666666667,1.3333333333333333
667,n80_p0,n80,p0,33,1,6.333333333333333,4.333333333333333
668,n20_p20,n20,p20,30,0,4.083333333333333,5.5
669,n80_p20,n80,p20,28,0,5.916666666666667,1.6666666666666667
670,n0_p80,n0,p80,28,0,5.583333333333333,5.666666666666667
671,n0_p20,n0,p20,22,0,3.1666666666666665,2.5
672,n20_p20,n20,p20,32,0,5.083333333333333,5.666666666666667
673,n80_p20,n80,p20,22,0,4.833333333333333,4.666666666666667
674,n0_p80,n0,p80,35,1,1.3333333333333333,2
675,n20_p0,n20,p0,50,1,4.7272727272727275,2.3333333333333335
676,n0_p0,n0,p0,60,0,1,1
677,n20_p80,n20,p80,41,0,4,2.3333333333333335
